cluster_1	LOC_Os07g11050.1	AAA_25	1	1	21.60	27	0.04	0.80	0.0004997501	0.006996502	PRESENT
cluster_2	TRIT1_HUMAN	M12	0	5	8.80	11	0.45	0.80	0.29585207	0.9946455	ABSENT
cluster_2	Trit1_MOUSE	M12	0	5	8.80	11	0.45	0.80	0.29585207	0.9946455	ABSENT
cluster_2	MOD5_YEAST	M10	0	7	8.80	11	0.64	0.80	0.71114443	0.9946455	ABSENT
cluster_2	MOD5_YEAST	M12	0	5	8.80	11	0.45	0.80	0.29585207	0.9946455	ABSENT
cluster_2	MOD5_YEAST	zf-C2H2_jaz	0	5	8.80	11	0.45	0.80	0.28635682	0.9946455	ABSENT
cluster_2	Ostta_31753	M10	0	7	8.80	11	0.64	0.80	0.71114443	0.9946455	ABSENT
cluster_2	Ostta_31753	M12	0	5	8.80	11	0.45	0.80	0.29585207	0.9946455	ABSENT
cluster_2	Ostta_31753	M7	0	10	8.80	11	0.91	0.80	1.00000000	1.0000000	ABSENT
cluster_2	Ostta_31753	zf-C2H2_jaz	0	5	8.80	11	0.45	0.80	0.28635682	0.9946455	ABSENT
cluster_2	LOC_Os01g73760.1	AAA_17	0	5	8.80	11	0.45	0.80	0.29635182	0.9946455	ABSENT
cluster_2	LOC_Os01g73760.1	IPT	0	8	8.80	11	0.73	0.80	1.00000000	1.0000000	ABSENT
cluster_2	Zeama_097258_P.01	AAA_17	0	5	8.80	11	0.45	0.80	0.29635182	0.9946455	ABSENT
cluster_2	Zeama_097258_P.01	IPT	0	8	8.80	11	0.73	0.80	1.00000000	1.0000000	ABSENT
cluster_2	Zeama_097258_P.01	zf-C2H2_jaz	0	5	8.80	11	0.45	0.80	0.28635682	0.9946455	ABSENT
cluster_2	tit1_SCHPO	AAA_17	0	5	8.80	11	0.45	0.80	0.29635182	0.9946455	ABSENT
cluster_2	tit1_SCHPO	M10	0	7	8.80	11	0.64	0.80	0.71114443	0.9946455	ABSENT
cluster_2	tit1_SCHPO	M12	0	5	8.80	11	0.45	0.80	0.29585207	0.9946455	ABSENT
cluster_2	tit1_SCHPO	zf-C2H2_jaz	0	5	8.80	11	0.45	0.80	0.28635682	0.9946455	ABSENT
cluster_2	Ostlu_34266	M10	0	7	8.80	11	0.64	0.80	0.71114443	0.9946455	ABSENT
cluster_2	Ostlu_34266	M12	0	5	8.80	11	0.45	0.80	0.29585207	0.9946455	ABSENT
cluster_2	Ostlu_34266	M4	0	10	8.80	11	0.91	0.80	1.00000000	1.0000000	ABSENT
cluster_2	AT2G27760.1	AAA_17	0	5	8.80	11	0.45	0.80	0.29635182	0.9946455	ABSENT
cluster_2	AT2G27760.1	zf-C2H2_jaz	0	5	8.80	11	0.45	0.80	0.28635682	0.9946455	ABSENT
cluster_2	Micp1_38216	AAA_17	0	5	8.80	11	0.45	0.80	0.29635182	0.9946455	ABSENT
cluster_2	Micp1_38216	IPT	0	8	8.80	11	0.73	0.80	1.00000000	1.0000000	ABSENT
cluster_2	Micp1_38216	M16	0	9	8.80	11	0.82	0.80	1.00000000	1.0000000	ABSENT
cluster_2	Micp1_38216	zf-C2H2_jaz	0	5	8.80	11	0.45	0.80	0.28635682	0.9946455	ABSENT
cluster_2	Micp2_56420	AAA_17	0	5	8.80	11	0.45	0.80	0.29635182	0.9946455	ABSENT
cluster_2	Micp2_56420	M16	0	9	8.80	11	0.82	0.80	1.00000000	1.0000000	ABSENT
